Field,File,Line,Method,Receiver,Operation,Context,Evidence
"PreferredDisplayTargetKey","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","614","ReconcileDockGroup","root","READ","Pet canonical / UI projection (inspect receiver)","root.PreferredDisplayTargetKey,"
"PreferredDisplayTargetKey","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","633","FindCommonDockPreferredSurface","member","READ","Pet canonical / UI projection (inspect receiver)","member.PreferredDisplayTargetKey) ||"
"PreferredLocalLogicalWidth","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","634","FindCommonDockPreferredSurface","member","READ","Pet canonical / UI projection (inspect receiver)","member.PreferredLocalLogicalWidth <= 0 ||"
"PreferredLocalLogicalHeight","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","635","FindCommonDockPreferredSurface","member","READ","Pet canonical / UI projection (inspect receiver)","member.PreferredLocalLogicalHeight <= 0)"
"PreferredDisplayTargetKey","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","638","FindCommonDockPreferredSurface","member","READ","Pet canonical / UI projection (inspect receiver)","member.PreferredDisplayTargetKey);"
"LocalLogicalX","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","660","TryBuildDockTopologyLogicalState","root","READ","Pet canonical / UI projection (inspect receiver)","int rootX = usePreferred ? root.PreferredLocalLogicalX : root.LocalLogicalX;"
"PreferredLocalLogicalX","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","660","TryBuildDockTopologyLogicalState","root","READ","Pet canonical / UI projection (inspect receiver)","int rootX = usePreferred ? root.PreferredLocalLogicalX : root.LocalLogicalX;"
"LocalLogicalY","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","661","TryBuildDockTopologyLogicalState","root","READ","Pet canonical / UI projection (inspect receiver)","int rootY = usePreferred ? root.PreferredLocalLogicalY : root.LocalLogicalY;"
"PreferredLocalLogicalY","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","661","TryBuildDockTopologyLogicalState","root","READ","Pet canonical / UI projection (inspect receiver)","int rootY = usePreferred ? root.PreferredLocalLogicalY : root.LocalLogicalY;"
"LocalLogicalWidth","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","662","TryBuildDockTopologyLogicalState","root","READ","Pet canonical / UI projection (inspect receiver)","int unifiedWidth = usePreferred ? root.PreferredLocalLogicalWidth : root.LocalLogicalWidth;"
"PreferredLocalLogicalWidth","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","662","TryBuildDockTopologyLogicalState","root","READ","Pet canonical / UI projection (inspect receiver)","int unifiedWidth = usePreferred ? root.PreferredLocalLogicalWidth : root.LocalLogicalWidth;"
"LocalLogicalWidth","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","668","TryBuildDockTopologyLogicalState","member","READ","Pet canonical / UI projection (inspect receiver)","int memberWidth = usePreferred ? member.PreferredLocalLogicalWidth : member.LocalLogicalWidth;"
"PreferredLocalLogicalWidth","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","668","TryBuildDockTopologyLogicalState","member","READ","Pet canonical / UI projection (inspect receiver)","int memberWidth = usePreferred ? member.PreferredLocalLogicalWidth : member.LocalLogicalWidth;"
"LocalLogicalHeight","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","669","TryBuildDockTopologyLogicalState","member","READ","Pet canonical / UI projection (inspect receiver)","int memberHeight = usePreferred ? member.PreferredLocalLogicalHeight : member.LocalLogicalHeight;"
"PreferredLocalLogicalHeight","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","669","TryBuildDockTopologyLogicalState","member","READ","Pet canonical / UI projection (inspect receiver)","int memberHeight = usePreferred ? member.PreferredLocalLogicalHeight : member.LocalLogicalHeight;"
"PreferredDisplayTargetKey","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","855","ReconcileStandaloneSticky","note","READ","Pet canonical / UI projection (inspect receiver)","!String.IsNullOrWhiteSpace(note.PreferredDisplayTargetKey) &&"
"PreferredLocalLogicalWidth","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","856","ReconcileStandaloneSticky","note","READ","Pet canonical / UI projection (inspect receiver)","note.PreferredLocalLogicalWidth > 0 &&"
"PreferredLocalLogicalHeight","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","857","ReconcileStandaloneSticky","note","READ","Pet canonical / UI projection (inspect receiver)","note.PreferredLocalLogicalHeight > 0;"
"PreferredDisplayTargetKey","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","859","ReconcileStandaloneSticky","note","READ","Pet canonical / UI projection (inspect receiver)","? snapshot.FindByTargetKey(note.PreferredDisplayTargetKey)"
"PreferredLocalLogicalX","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","872","ReconcileStandaloneSticky","note","READ","Pet canonical / UI projection (inspect receiver)","note.PreferredLocalLogicalX,"
"PreferredLocalLogicalY","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","873","ReconcileStandaloneSticky","note","READ","Pet canonical / UI projection (inspect receiver)","note.PreferredLocalLogicalY,"
"PreferredLocalLogicalWidth","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","874","ReconcileStandaloneSticky","note","READ","Pet canonical / UI projection (inspect receiver)","note.PreferredLocalLogicalWidth,"
"PreferredLocalLogicalHeight","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","875","ReconcileStandaloneSticky","note","READ","Pet canonical / UI projection (inspect receiver)","note.PreferredLocalLogicalHeight,"
"PreferredDisplayTargetKey","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","936","TryBuildTemporaryRehomeTarget","note","READ","Pet canonical / UI projection (inspect receiver)","note.PreferredDisplayTargetKey) ||"
"PreferredLocalLogicalWidth","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","937","TryBuildTemporaryRehomeTarget","note","READ","Pet canonical / UI projection (inspect receiver)","note.PreferredLocalLogicalWidth <= 0 ||"
"PreferredLocalLogicalHeight","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","938","TryBuildTemporaryRehomeTarget","note","READ","Pet canonical / UI projection (inspect receiver)","note.PreferredLocalLogicalHeight <= 0 ||"
"PreferredDisplayTargetKey","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","940","TryBuildTemporaryRehomeTarget","note","READ","Pet canonical / UI projection (inspect receiver)","note.PreferredDisplayTargetKey) != null) return false;"
"PreferredDisplayTargetKey","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","942","TryBuildTemporaryRehomeTarget","note","READ","Pet canonical / UI projection (inspect receiver)","note.PreferredDisplayTargetKey,"
"X","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","943","TryBuildTemporaryRehomeTarget","note","READ","Pet canonical / UI projection (inspect receiver)","new PhysicalRect(note.X, note.Y, note.Width, note.Height),"
"Y","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","943","TryBuildTemporaryRehomeTarget","note","READ","Pet canonical / UI projection (inspect receiver)","new PhysicalRect(note.X, note.Y, note.Width, note.Height),"
"Width","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","943","TryBuildTemporaryRehomeTarget","note","READ","Pet canonical / UI projection (inspect receiver)","new PhysicalRect(note.X, note.Y, note.Width, note.Height),"
"Height","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","943","TryBuildTemporaryRehomeTarget","note","READ","Pet canonical / UI projection (inspect receiver)","new PhysicalRect(note.X, note.Y, note.Width, note.Height),"
"PreferredLocalLogicalWidth","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","948","TryBuildTemporaryRehomeTarget","note","READ","Pet canonical / UI projection (inspect receiver)","note.PreferredLocalLogicalWidth,"
"PreferredLocalLogicalHeight","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","949","TryBuildTemporaryRehomeTarget","note","READ","Pet canonical / UI projection (inspect receiver)","note.PreferredLocalLogicalHeight,"
"PreferredDisplayTargetKey","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","1092","PostHostedStickyShow","note","READ","Pet canonical / UI projection (inspect receiver)","note.PreferredDisplayTargetKey) != null)"
"PreferredDisplayTargetKey","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","1280","HostedStickyEventReceived","canonical","READ","Pet canonical / UI projection (inspect receiver)","value.Topology, canonical.PreferredDisplayTargetKey,"
"PreferredDisplayTargetKey","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","1519","CommitHostedStickyPreferred","canonical","WRITE","Pet canonical / UI projection (inspect receiver)","canonical.PreferredDisplayTargetKey = targetKey;"
"PreferredLocalLogicalX","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","1520","CommitHostedStickyPreferred","canonical","WRITE","Pet canonical / UI projection (inspect receiver)","canonical.PreferredLocalLogicalX = localX;"
"PreferredLocalLogicalY","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","1521","CommitHostedStickyPreferred","canonical","WRITE","Pet canonical / UI projection (inspect receiver)","canonical.PreferredLocalLogicalY = localY;"
"PreferredLocalLogicalWidth","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","1522","CommitHostedStickyPreferred","canonical","WRITE","Pet canonical / UI projection (inspect receiver)","canonical.PreferredLocalLogicalWidth = localWidth;"
"PreferredLocalLogicalHeight","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","1523","CommitHostedStickyPreferred","canonical","WRITE","Pet canonical / UI projection (inspect receiver)","canonical.PreferredLocalLogicalHeight = localHeight;"
"PreferredDisplayTargetKey","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","1536","AdoptPreferredIfEmpty","canonical","READ","Pet canonical / UI projection (inspect receiver)","canonical.PreferredDisplayTargetKey)) return;"
"PreferredDisplayTargetKey","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","1550","AdoptPreferredIfEmpty","canonical","WRITE","Pet canonical / UI projection (inspect receiver)","canonical.PreferredDisplayTargetKey = targetKey;"
"PreferredLocalLogicalX","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","1551","AdoptPreferredIfEmpty","canonical","WRITE","Pet canonical / UI projection (inspect receiver)","canonical.PreferredLocalLogicalX = local.X;"
"PreferredLocalLogicalY","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","1552","AdoptPreferredIfEmpty","canonical","WRITE","Pet canonical / UI projection (inspect receiver)","canonical.PreferredLocalLogicalY = local.Y;"
"PreferredLocalLogicalWidth","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","1553","AdoptPreferredIfEmpty","canonical","WRITE","Pet canonical / UI projection (inspect receiver)","canonical.PreferredLocalLogicalWidth = local.Width;"
"PreferredLocalLogicalHeight","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","1554","AdoptPreferredIfEmpty","canonical","WRITE","Pet canonical / UI projection (inspect receiver)","canonical.PreferredLocalLogicalHeight = local.Height;"
"PreferredDisplayTargetKey","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","1699","TryPrepareDockCommit","canonical","READ","Pet canonical / UI projection (inspect receiver)","canonical.PreferredDisplayTargetKey,"
"Height","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","1798","CompleteHostedStickyDockDivider","canonical","WRITE","Pet canonical / UI projection (inspect receiver)","canonical.Height = Math.Max(1, value.Height);"
"PreferredDisplayTargetKey","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","2115","HasCompleteDockPreferredGeometry","member","READ","Pet canonical / UI projection (inspect receiver)","member.PreferredDisplayTargetKey) ||"
"PreferredLocalLogicalWidth","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","2116","HasCompleteDockPreferredGeometry","member","READ","Pet canonical / UI projection (inspect receiver)","member.PreferredLocalLogicalWidth <= 0 ||"
"PreferredLocalLogicalHeight","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","2117","HasCompleteDockPreferredGeometry","member","READ","Pet canonical / UI projection (inspect receiver)","member.PreferredLocalLogicalHeight <= 0)"
"PreferredDisplayTargetKey","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","2134","MigrateDockRestorePreferredIfNeeded","member","READ","Pet canonical / UI projection (inspect receiver)","member.PreferredDisplayTargetKey) &&"
"PreferredLocalLogicalWidth","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","2135","MigrateDockRestorePreferredIfNeeded","member","READ","Pet canonical / UI projection (inspect receiver)","member.PreferredLocalLogicalWidth > 0 &&"
"PreferredLocalLogicalHeight","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","2136","MigrateDockRestorePreferredIfNeeded","member","READ","Pet canonical / UI projection (inspect receiver)","member.PreferredLocalLogicalHeight > 0;"
"PreferredDisplayTargetKey","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","2175","TryResolveDockRestoreTarget","root","READ","Pet canonical / UI projection (inspect receiver)","root.PreferredDisplayTargetKey,"
"Width","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","2505","TryRestoreHostedDockComponentLegacyFallback","member","READ","Pet canonical / UI projection (inspect receiver)","sizes.Add(new Size(member.Width, member.Height));"
"Height","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","2505","TryRestoreHostedDockComponentLegacyFallback","member","READ","Pet canonical / UI projection (inspect receiver)","sizes.Add(new Size(member.Width, member.Height));"
"Width","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","2784","IsStripCoveredByVisibleSticky","note","READ","Pet canonical / UI projection (inspect receiver)","if (note.Width <= 0 || note.Height <= 0) continue;"
"Height","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","2784","IsStripCoveredByVisibleSticky","note","READ","Pet canonical / UI projection (inspect receiver)","if (note.Width <= 0 || note.Height <= 0) continue;"
"X","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","2785","IsStripCoveredByVisibleSticky","note","READ","Pet canonical / UI projection (inspect receiver)","Rectangle noteBounds = new Rectangle(note.X, note.Y,"
"Y","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","2785","IsStripCoveredByVisibleSticky","note","READ","Pet canonical / UI projection (inspect receiver)","Rectangle noteBounds = new Rectangle(note.X, note.Y,"
"Width","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","2786","IsStripCoveredByVisibleSticky","note","READ","Pet canonical / UI projection (inspect receiver)","note.Width, note.Height);"
"Height","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","2786","IsStripCoveredByVisibleSticky","note","READ","Pet canonical / UI projection (inspect receiver)","note.Width, note.Height);"
"LocalLogicalWidth","desktop-pet/Features/StickyNotes/StickyNoteWpf.cs","240","StickyNoteWindow","data","READ","Sticky STA working copy / window effect","Math.Max(1, data.LocalLogicalWidth));"
"LocalLogicalHeight","desktop-pet/Features/StickyNotes/StickyNoteWpf.cs","242","StickyNoteWindow","data","READ","Sticky STA working copy / window effect","Math.Max(1, data.LocalLogicalHeight));"
"X","desktop-pet/Features/StickyNotes/StickyNoteWpf.cs","246","StickyNoteWindow","data","READ","Sticky STA working copy / window effect","base.Left = data.X;"
"Y","desktop-pet/Features/StickyNotes/StickyNoteWpf.cs","247","StickyNoteWindow","data","READ","Sticky STA working copy / window effect","base.Top = data.Y;"
"Width","desktop-pet/Features/StickyNotes/StickyNoteWpf.cs","248","StickyNoteWindow","data","READ","Sticky STA working copy / window effect","base.Width = Math.Max(MinWidth, data.Width);"
"Height","desktop-pet/Features/StickyNotes/StickyNoteWpf.cs","249","StickyNoteWindow","data","READ","Sticky STA working copy / window effect","base.Height = Math.Max(MinHeight, data.Height);"
"X","desktop-pet/Features/StickyNotes/StickyNoteWpf.cs","870","ShowRestoredDocked","Data","WRITE","Sticky STA working copy / window effect","Data.X = bounds.Left;"
"Y","desktop-pet/Features/StickyNotes/StickyNoteWpf.cs","871","ShowRestoredDocked","Data","WRITE","Sticky STA working copy / window effect","Data.Y = bounds.Top;"
"Width","desktop-pet/Features/StickyNotes/StickyNoteWpf.cs","872","ShowRestoredDocked","Data","WRITE","Sticky STA working copy / window effect","Data.Width = bounds.Width;"
"Height","desktop-pet/Features/StickyNotes/StickyNoteWpf.cs","873","ShowRestoredDocked","Data","WRITE","Sticky STA working copy / window effect","Data.Height = bounds.Height;"
"X","desktop-pet/Features/StickyNotes/StickyNoteWpf.cs","900","ShowRestoredAtPhysicalBounds","Data","WRITE","Sticky STA working copy / window effect","Data.X = Left;"
"Y","desktop-pet/Features/StickyNotes/StickyNoteWpf.cs","901","ShowRestoredAtPhysicalBounds","Data","WRITE","Sticky STA working copy / window effect","Data.Y = Top;"
"Width","desktop-pet/Features/StickyNotes/StickyNoteWpf.cs","902","ShowRestoredAtPhysicalBounds","Data","WRITE","Sticky STA working copy / window effect","Data.Width = Width;"
"Height","desktop-pet/Features/StickyNotes/StickyNoteWpf.cs","903","ShowRestoredAtPhysicalBounds","Data","WRITE","Sticky STA working copy / window effect","Data.Height = Height;"
"X","desktop-pet/Features/StickyNotes/StickyNoteWpf.cs","1163","PersistNow","Data","WRITE","Sticky STA working copy / window effect","Data.X = Left;"
"Y","desktop-pet/Features/StickyNotes/StickyNoteWpf.cs","1164","PersistNow","Data","WRITE","Sticky STA working copy / window effect","Data.Y = Top;"
"Width","desktop-pet/Features/StickyNotes/StickyNoteWpf.cs","1165","PersistNow","Data","WRITE","Sticky STA working copy / window effect","Data.Width = Width;"
"Height","desktop-pet/Features/StickyNotes/StickyNoteWpf.cs","1166","PersistNow","Data","WRITE","Sticky STA working copy / window effect","Data.Height = Height;"
"X","desktop-pet/Features/StickyNotes/StickyNoteWpf.cs","1474","EnsureOnScreen","Data","READ","Sticky STA working copy / window effect","new System.Drawing.Point(Data.X, Data.Y)).WorkingArea;"
"Y","desktop-pet/Features/StickyNotes/StickyNoteWpf.cs","1474","EnsureOnScreen","Data","READ","Sticky STA working copy / window effect","new System.Drawing.Point(Data.X, Data.Y)).WorkingArea;"
"X","desktop-pet/Features/StickyNotes/StickyNoteWpf.cs","1475","EnsureOnScreen","Data","READ","Sticky STA working copy / window effect","Left = Math.Max(work.Left, Math.Min(Data.X, work.Right - Width));"
"Y","desktop-pet/Features/StickyNotes/StickyNoteWpf.cs","1476","EnsureOnScreen","Data","READ","Sticky STA working copy / window effect","Top = Math.Max(work.Top, Math.Min(Data.Y, work.Bottom - Height));"
"Width","desktop-pet/Features/StickyNotes/StickyNoteTabs.cs","1418","LoadTypeIconMasks","source","READ","other detached geometry; not automatically StickyNoteData","if (source.Width < 3 || source.Height < 3) return null;"
"Height","desktop-pet/Features/StickyNotes/StickyNoteTabs.cs","1418","LoadTypeIconMasks","source","READ","other detached geometry; not automatically StickyNoteData","if (source.Width < 3 || source.Height < 3) return null;"
"Height","desktop-pet/Features/StickyNotes/StickyNoteTabs.cs","1419","LoadTypeIconMasks","source","READ","other detached geometry; not automatically StickyNoteData","int rowHeight = source.Height / 3;"
"Width","desktop-pet/Features/StickyNotes/StickyNoteTabs.cs","1424","LoadTypeIconMasks","source","READ","other detached geometry; not automatically StickyNoteData","source.Width, row == 2"
"Height","desktop-pet/Features/StickyNotes/StickyNoteTabs.cs","1425","LoadTypeIconMasks","source","READ","other detached geometry; not automatically StickyNoteData","? source.Height - row * rowHeight"
"Width","desktop-pet/Features/StickyNotes/StickyNoteTabs.cs","1464","NormalizeTypeIconMask","source","READ","other detached geometry; not automatically StickyNoteData","int minX = source.Width;"
"Height","desktop-pet/Features/StickyNotes/StickyNoteTabs.cs","1465","NormalizeTypeIconMask","source","READ","other detached geometry; not automatically StickyNoteData","int minY = source.Height;"
"Height","desktop-pet/Features/StickyNotes/StickyNoteTabs.cs","1468","NormalizeTypeIconMask","source","READ","other detached geometry; not automatically StickyNoteData","for (int y = 0; y < source.Height; y++)"
"Width","desktop-pet/Features/StickyNotes/StickyNoteTabs.cs","1470","NormalizeTypeIconMask","source","READ","other detached geometry; not automatically StickyNoteData","for (int x = 0; x < source.Width; x++)"
"Width","desktop-pet/Features/StickyNotes/StickyNoteTabs.cs","1503","NormalizeTypeIconMask","source","READ","other detached geometry; not automatically StickyNoteData","sourceX >= source.Width ||"
"Height","desktop-pet/Features/StickyNotes/StickyNoteTabs.cs","1504","NormalizeTypeIconMask","source","READ","other detached geometry; not automatically StickyNoteData","sourceY >= source.Height) continue;"
"LocalLogicalWidth","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","467","PlanDockPlan","member","READ","Pet canonical / UI projection (inspect receiver)","if (member.LocalLogicalWidth <= 0 ||"
"LocalLogicalHeight","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","468","PlanDockPlan","member","READ","Pet canonical / UI projection (inspect receiver)","member.LocalLogicalHeight <= 0) return null;"
"LocalLogicalHeight","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","471","PlanDockPlan","member","READ","Pet canonical / UI projection (inspect receiver)","member.LocalLogicalHeight));"
"X","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","662","ApplyDockCanonicalFromPhysical","note","WRITE","Pet canonical / UI projection (inspect receiver)","note.X = target.X;"
"X","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","662","ApplyDockCanonicalFromPhysical","target","READ","Pet canonical / UI projection (inspect receiver)","note.X = target.X;"
"Y","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","663","ApplyDockCanonicalFromPhysical","note","WRITE","Pet canonical / UI projection (inspect receiver)","note.Y = target.Y;"
"Y","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","663","ApplyDockCanonicalFromPhysical","target","READ","Pet canonical / UI projection (inspect receiver)","note.Y = target.Y;"
"Width","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","664","ApplyDockCanonicalFromPhysical","note","WRITE","Pet canonical / UI projection (inspect receiver)","note.Width = target.Width;"
"Width","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","664","ApplyDockCanonicalFromPhysical","target","READ","Pet canonical / UI projection (inspect receiver)","note.Width = target.Width;"
"Height","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","665","ApplyDockCanonicalFromPhysical","note","WRITE","Pet canonical / UI projection (inspect receiver)","note.Height = target.Height;"
"Height","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","665","ApplyDockCanonicalFromPhysical","target","READ","Pet canonical / UI projection (inspect receiver)","note.Height = target.Height;"
"X","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","670","ApplyDockCanonicalFromPhysical","target","READ","Pet canonical / UI projection (inspect receiver)","target.X, target.Y,"
"Y","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","670","ApplyDockCanonicalFromPhysical","target","READ","Pet canonical / UI projection (inspect receiver)","target.X, target.Y,"
"X","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","671","ApplyDockCanonicalFromPhysical","target","READ","Pet canonical / UI projection (inspect receiver)","target.X + target.Width, target.Y + target.Height);"
"Y","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","671","ApplyDockCanonicalFromPhysical","target","READ","Pet canonical / UI projection (inspect receiver)","target.X + target.Width, target.Y + target.Height);"
"Width","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","671","ApplyDockCanonicalFromPhysical","target","READ","Pet canonical / UI projection (inspect receiver)","target.X + target.Width, target.Y + target.Height);"
